adm_location,indicator,value,survey_name,ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank,indicator_name
west,Children with ARI for whom advice or treatment was sought,67.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with ARI for whom advice or treatment was sought,82.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever in the last two weeks,16.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever in the last two weeks,15.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever in the last two weeks,18.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever in the last two weeks,16.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever in the last two weeks,26.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever in the last two weeks,22.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever in the last two weeks,24.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever in the last two weeks,21.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever in the last two weeks,20.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever in the last two weeks,17.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever for whom advice or treatment was sought,75.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever for whom advice or treatment was sought,71.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever for whom advice or treatment was sought,60.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever for whom advice or treatment was sought,61.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever for whom advice or treatment was sought,60.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever for whom advice or treatment was sought,63.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever for whom advice or treatment was sought,55.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever for whom advice or treatment was sought,53.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever for whom advice or treatment was sought,66,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever for whom advice or treatment was sought,63.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with diarrhea,14.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with diarrhea,11.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with diarrhea,17,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with diarrhea,13.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with diarrhea,24.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with diarrhea,18.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with diarrhea,20.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with diarrhea,16.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with diarrhea,14.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with diarrhea,11.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Either ORS or RHF,20.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Either ORS or RHF,21.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Either ORS or RHF,36.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Either ORS or RHF,34,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Either ORS or RHF,39.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Either ORS or RHF,38.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Either ORS or RHF,31.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Either ORS or RHF,32.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Either ORS or RHF,35.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Either ORS or RHF,36.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Feeding practices during diarrhea: ORT and continued feeding,4.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Feeding practices during diarrhea: ORT and continued feeding,8.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Feeding practices during diarrhea: ORT and continued feeding,18.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Feeding practices during diarrhea: ORT and continued feeding,16.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Feeding practices during diarrhea: ORT and continued feeding,11.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Feeding practices during diarrhea: ORT and continued feeding,11.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Feeding practices during diarrhea: ORT and continued feeding,10,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Feeding practices during diarrhea: ORT and continued feeding,10.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Feeding practices during diarrhea: ORT and continued feeding,10.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Feeding practices during diarrhea: ORT and continued feeding,12.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",6.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",10.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",24.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",23.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",18,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",18.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",16,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",20.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",16.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",20.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children stunted,21.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children stunted,32.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children stunted,40.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children stunted,40.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children stunted,28.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children wasted,1.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children wasted,2.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children wasted,0.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children wasted,0.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children wasted,0.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children underweight,4.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children underweight,10.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children underweight,8.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children underweight,7.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children underweight,6.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Median duration of any breastfeeding,24.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Median duration of any breastfeeding,30.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Median duration of any breastfeeding,26.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Median duration of any breastfeeding,26.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Median duration of any breastfeeding,25.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Median duration of exclusive breastfeeding,4.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Median duration of exclusive breastfeeding,5.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Median duration of exclusive breastfeeding,5.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Median duration of exclusive breastfeeding,5.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Median duration of exclusive breastfeeding,5.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Median duration of predominant breastfeeding,5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Median duration of predominant breastfeeding,5.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Median duration of predominant breastfeeding,6.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Median duration of predominant breastfeeding,6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Median duration of predominant breastfeeding,6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,33.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,26.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,18.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,13.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,20.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Non-breastfed children 6-23 months with 3 IYCF practices,7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Non-breastfed children 6-23 months with 3 IYCF practices,12.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Non-breastfed children 6-23 months with 3 IYCF practices,18.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Non-breastfed children 6-23 months with 3 IYCF practices,15,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children 6-23 months with 3 IYCF practices,30.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children 6-23 months with 3 IYCF practices,26.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children 6-23 months with 3 IYCF practices,18.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children 6-23 months with 3 IYCF practices,13.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children 6-23 months with 3 IYCF practices,20.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with any anemia,36.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with any anemia,32.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with any anemia,40.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with any anemia,41.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with any anemia,33.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,88.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,86.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,82.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,83.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,81.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children 6-23 months that consumed foods rich in iron in the last 24 hours,39.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children 6-23 months that consumed foods rich in iron in the last 24 hours,24.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children 6-23 months that consumed foods rich in iron in the last 24 hours,21.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children 6-23 months that consumed foods rich in iron in the last 24 hours,9.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children 6-23 months that consumed foods rich in iron in the last 24 hours,24.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children consuming vitamin A supplements,77.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children consuming vitamin A supplements,88.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children consuming vitamin A supplements,85.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children consuming vitamin A supplements,90.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children consuming vitamin A supplements,87.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Mean Body Mass Index (BMI) for women,25.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Mean Body Mass Index (BMI) for women,22.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Mean Body Mass Index (BMI) for women,23,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Mean Body Mass Index (BMI) for women,23.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Mean Body Mass Index (BMI) for women,23.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Women who are thin according to BMI (<18.5),3.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Women who are thin according to BMI (<18.5),9.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Women who are thin according to BMI (<18.5),6.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Women who are thin according to BMI (<18.5),4.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Women who are thin according to BMI (<18.5),5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Women who are overweight or obese according to BMI (>=25.0),42.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Women who are overweight or obese according to BMI (>=25.0),19.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Women who are overweight or obese according to BMI (>=25.0),22.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Women who are overweight or obese according to BMI (>=25.0),24.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Women who are overweight or obese according to BMI (>=25.0),26.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Women with any anemia,14.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Women with any anemia,14.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Women with any anemia,12.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Women with any anemia,11.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Women with any anemia,12.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Households with at least one insecticide-treated mosquito net (ITN),86,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Households with at least one insecticide-treated mosquito net (ITN),64.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Households with at least one insecticide-treated mosquito net (ITN),64.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Households with at least one insecticide-treated mosquito net (ITN),65.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Households with at least one insecticide-treated mosquito net (ITN),59.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,63.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,31.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,27.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,31.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,28.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Persons with access to an insecticide-treated mosquito net (ITN),80.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Persons with access to an insecticide-treated mosquito net (ITN),47.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Persons with access to an insecticide-treated mosquito net (ITN),43.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Persons with access to an insecticide-treated mosquito net (ITN),48.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Persons with access to an insecticide-treated mosquito net (ITN),45.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Population who slept under an insecticide-treated mosquito net (ITN) last night,75.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Population who slept under an insecticide-treated mosquito net (ITN) last night,46.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Population who slept under an insecticide-treated mosquito net (ITN) last night,42.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Population who slept under an insecticide-treated mosquito net (ITN) last night,44.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Population who slept under an insecticide-treated mosquito net (ITN) last night,41.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children under 5 who slept under an insecticide-treated net (ITN),81.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children under 5 who slept under an insecticide-treated net (ITN),56.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children under 5 who slept under an insecticide-treated net (ITN),51.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children under 5 who slept under an insecticide-treated net (ITN),52.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children under 5 who slept under an insecticide-treated net (ITN),48,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Pregnant women who slept under an insecticide-treated net (ITN),76.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Pregnant women who slept under an insecticide-treated net (ITN),58.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Pregnant women who slept under an insecticide-treated net (ITN),57.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Pregnant women who slept under an insecticide-treated net (ITN),55.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Pregnant women who slept under an insecticide-treated net (ITN),42.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever for whom advice or treatment was sought,71.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever for whom advice or treatment was sought,61.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever for whom advice or treatment was sought,63.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever for whom advice or treatment was sought,53.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever for whom advice or treatment was sought,63.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever who had blood taken from a finger or heel for testing,50.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever who had blood taken from a finger or heel for testing,43.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever who had blood taken from a finger or heel for testing,40.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever who had blood taken from a finger or heel for testing,26,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever who had blood taken from a finger or heel for testing,44.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children who took any ACT,89.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children who took any ACT,94.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with hemoglobin lower than 8.0 g/dl,1.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with hemoglobin lower than 8.0 g/dl,0.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with hemoglobin lower than 8.0 g/dl,1.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with hemoglobin lower than 8.0 g/dl,2.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
